23/12/2022 12:12:42:443  INFO - In Progress | session id:sess7743794 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 12:12:42:443  INFO - Application Exit | session id:sess7743794 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 12:15:25:830  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 12:15:25:924  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 12:15:26:001  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 12:15:30:876  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 1111^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:15:32:586  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:15:36:318  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 22222#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:15:38:321  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:15:38:414  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:pruebaWS | Framework | pruebaWS |  |  | 00001018341670247984
23/12/2022 12:15:53:342  INFO - Node Entry | session id:sess1294398 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 12:15:53:347  INFO - In Progress | session id:sess1294398 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 12:15:53:347  INFO - Application Exit | session id:sess1294398 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 12:48:38:296  INFO - Node Entry | session id:sess269749 | IVRColmenaARP:Start | Framework | Start |  |  | 
